No,thread_url,post_code
298,https://www.threads.net/@asa_to_ame/post/DUkzT3CE_n_,DUkzT3CE_n_
299,https://www.threads.net/@asa_to_ame/post/DUky7ntiU0z,DUky7ntiU0z
300,https://www.threads.net/@asa_to_ame/post/DUky9kgCcIg,DUky9kgCcIg
301,https://www.threads.net/@asa_to_ame/post/DUksCKmCRXn,DUksCKmCRXn
302,https://www.threads.net/@asa_to_ame/post/DUksEPcidXR,DUksEPcidXR
303,https://www.threads.net/@asa_to_ame/post/DUklKwiCfAB,DUklKwiCfAB
304,https://www.threads.net/@asa_to_ame/post/DUklMm7CWPO,DUklMm7CWPO
305,https://www.threads.net/@asa_to_ame/post/DUkeTRuiSP9,DUkeTRuiSP9
306,https://www.threads.net/@asa_to_ame/post/DUkeVWdieKu,DUkeVWdieKu
307,https://www.threads.net/@asa_to_ame/post/DUiZrEvE84V,DUiZrEvE84V
